;#META# 000.SortField;#META# 000.BookURI;#META# 010.AuthorAKA;#META# 010.AuthorNAME;#META# 011.AuthorBORNH;#META# 012.AuthorBORNC;#META# 013.AuthorDIEDH;#META# 014.AuthorDIEDC;#META# 015.Author Geographical Area;#META# 016.Century;#META# 020.BookTITLE;#META# 020.BookTITLESUB;#META# 021.BookSUBJ;#META# 022.BookVOLS;#META# 025.BookLANG;#META# 029.BookTITLEalt;#META# 030.LibURI;#META# 030.LibURIextra;#META# 031.LibREADONLINE;#META# 031.LibURL;#META# 031.LibURLFILE;#META# 031.LibURLextra;#META# 040.EdALL;#META# 040.EdEDITOR;#META# 041.EdNUMBER;#META# 041.EdNumber;#META# 043.EdPUBLISHER;#META# 044.EdPLACE;#META# 045.EdYEAR;#META# 049.EdISBN;#META# 049.EdPAGES;#META# 049.EdPHYSICAL;#META# 049.EdVOLUME;#META# 090.RecMISC;#META# 091.Number of tokens;#META# 092.Tagging;#META# 999.MiscINFO
Fiqh1;Shamela_0026333;0182AbuYusufYacqub.Kharaj;أبو يوسف;أبو يوسف يعقوب بن إبراهيم بن حبيب بن سعد بن حبتة الأنصاري ;113;798;182;731;Fertile Crescent;2ndH/8thC and 3rdH/9thC century;الخراج;NODATA;فقه حنفي;1;NODATA;NODATA;Shamela_0026333;NODATA;http://shamela.ws/browse.php/book-26333;http://shamela.ws/index.php/book/26333;NODATA;NODATA;NODATA;طه عبد الرءوف سعد، سعد حسن محمد;طبعة جديدة مضبوطة - محققة ومفهرسة، أصح الطبعات وأكثرها شمولا;NODATA;المكتبة الأزهرية للتراث;NODATA;NODATA;NODATA;NODATA;NODATA;NODATA;NODATA;76062;Quran @QB@ @QE@ Hadith @HB@; NODATA
Fiqh10; shia_10056;0381IbnBabawayh.Hidaya; إبن بابويه ; الشيخ الأقدم أبي جعفر الصدوق محمد بن علي بن الحسين بن بابويه القمي;311;923;381;992; Iran;4th/10th century;  الهداية في الأصول والفروع;NODATA;فقه شيعي;2; NODATA; NODATA; shia_10056;  NODATA;  http://ar.lib.eshia.ir/10056/1/2; NODATA;  NODATA; NODATA;  NODATA; تحقيق مؤسسة الإمام الهادي عليه السلام;1;1; مؤسسة الإمام الهادي عليه السلام; قم أيران ;2010; NODATA; NODATA; NODATA; NODATA; NODATA;19733;Chapters ### || ; NODATA
Fiqh11; Shia_000923Vols;0483IbnAhmadSarakhsi.Mabsut; شمس الأئمة; السرخسي; NOTGIVEN; NOTGIVEN;483;1096; Greater Khorasan ;5th/11th century; المبسوط; NODATA;فقه الحنفي;30; NODATA; NODATA; Shia_000923Vols; NODATA; http://shiaonlinelibrary.com/الكتب/923_المبسوط-السرخسي-ج-1; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; دار المعرفة ; بيروت لبنان; 1406 - 1986 ; NODATA; NODATA; NODATA; NODATA; NODATA;2494216;Books ### |, Chapters ### ||, Quran @QB@ @QE@ ; NODATA
Fiqh12; JK_009139;0450AbuHasanMawardi.HawiKabir; الماوردي; علي بن محمد بن حبيب الماوردي البصري الشافعي;364;975;450;1059; Fertile Crescent ;  5th/11th century; الحاوي الكبير في فقه مذهب الإمام الشافعي وهو شرح مختصر المزني; NODATA; فقه شافعي;19; NODATA; الحاوي الكبير; JK_009139; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; الشيخ علي محمد معوض - الشيخ عادل أحمد عبد الموجود; الأولى; NODATA; دار الكتب العلمية; بيروت - لبنان; 1419- 1999; NODATA; NODATA; NODATA; NODATA; NODATA;2713331;Books ### |, chapters ### ||, Fuṣūl ### |||,Quran @QB@  @QE@, Hadith @HA@  ; NODATA
Fiqh13;JK_000881;0463IbnCabdBarr.KafiFiFiqh; ابن عبد البر; أبو عمر يوسف بن عبد الله بن عبد البر القرطبي; NOTGIVEN; NOTGIVEN;483;1090-1091; Islamic West;5th/11th century; الكافي في فقه أهل المدينة; NODATA;فقه مالكي;1; NODATA; الكافي لابن عبدالبر;JK_000881; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; الأولى; NODATA; دار الكتب العلمية; بيروت;1407; NODATA; NODATA; NODATA; NODATA; NODATA;226537;Books ### |, Chapters ### ||; NODATA
Fiqh14;shamela_0013246;0458QadiAbuYacla.MasailFiqhyya;القاضي أبو يعلى;محمد بن الحسين بن محمد بن خلف المعروف بـ ابن الفراء ;380;990;458;1066;Fertile Crescent ;5th/11th century;المسائل الفقهية من كتاب الروايتين والوجهين أبو يعلى ابن الفراء;NODATA;فقه حنبلي;3;NODATA;NODATA;NODATA;NODATA;http://shamela.ws/index.php/book/13246;http://shamela.ws/index.php/book/13246;NODATA;NODATA;NODATA; د. عبد الكريم بن محمد اللاحم;1;NODATA;مكتبة المعارف;الرياض- السعودية;1405 1985;NODATA;NODATA;NODATA;NODATA;NODATA;184234;Books ### |, Chapters ### ||;NODATA
Fiqh15; Shia_000033Vols;0460ShaykhTusi.Mabsut; الشيخ الطوسي;أبي جعفر محمد بن الحسن بن علي الطوسي  ;385;995;460;1067;Iran ;5th/11th century; المبسوط; NODATA;فقه شيعي;8; NODATA; NODATA; Shia_000033Vols; NODATA; http://shiaonlinelibrary.com/الكتب/33_المبسوط-الشيخ-الطوسي-ج-1; NODATA; NODATA; NODATA; NODATA; تصحيح وتعليق : السيد محمد تقي الكشفي; NODATA; NODATA; NODATA; NODATA;1387; NODATA; NODATA; NODATA; NODATA; NODATA;800420;Books ### |, Chapters ### ||; NODATA
Fiqh16; JK_000150;0587IbnMascudCalaDinKasani.BadaicSanaic; الكاساني; علاء الدين الكاساني;NODATA;NODATA;587;1191; Fertile Crescent ;6th/12th century; بدائع الصنائع في ترتيب الشرائع; NODATA;فقه الحنفي;7; NODATA; بدائع الصنائع; JK_000150; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; الثانية; NODATA; دار الكتاب العربي; بيروت لبنان;1982; NODATA; NODATA; NODATA; NODATA; NODATA;1464584;Books ### |, Chapters ### ||, Quran @QB@ @QE@, ; NODATA
Fiqh17;  JK000122406;0422QadiCabdWahhabThaclabi.IkmalMuCallim; القاضي عياض; أبو الفضل عياض بن موسى بن عياض بن عمرون بن موسى بن عياض السبتي اليحصبي ;476;1083;544;1149; Islamic West; 6th/12th century; إكمال المعلم بفوائد مسلم ;NODATA;فقه مالكي;8;NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; دار الوفاء للطباعة والنشر والتوزيع; مصر;1998; NODATA; NODATA; NODATA; NODATA; NODATA;1523150; Books ### | Quran @QB@ @QE@ ; NODATA
Fiqh18; JK_000244;0507AbuBakrShashi.HilyaCulama; الشاشي; سيف الدين أبي بكر محمد بن أحمد الشاشي القفال;429;1037;507;1114;Fertile Crescent;6th/12th century; حلية العلماء في معرفة مذاهب الفقهاء; NODATA; فقه شافعي;3; NODATA; حلية العلماء; JK_000244; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; د . ياسين أحمد إبراهيم درادكة; الأولى; NODATA; مؤسسة الرسالة ; بيروت  لبنان ;1980; NODATA; NODATA; NODATA; NODATA; NODATA;98594;Books ### |, Chapters ### ||, Quran @QB@ @QE@, ; NODATA
